"Other Crops: Volume of Production, by Region and by Province, 1990-2018"

"Crop","Geolocation","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Pineapple","....Sultan Kudarat",35.30,41.00,32.94,33.35,32.14,28.47,261.31,662.08,1325.95,1655.34,843.72,80.10,56.41,59.87,60.02,46.85,47.71,47.60,40.49,21.85,21.46,151.05,6263.75,8046.67,5703.08,6621.92,8260.89,3070.00,9718.70
"Pineapple","....South Cotabato",652571.31,563221.55,644128.23,696202.35,714220.84,709690.83,685461.91,715737.70,663764.01,596125.66,583235.77,601626.78,603034.05,604257.29,602384.35,611178.78,612457.87,688635.19,740348.56,755767.42,754639.38,759074.17,760489.08,765701.33,769286.16,765214.38,732936.71,756559.27,767186.77
"Pineapple","..REGION XIII (CARAGA)",2537.14,2613.10,2560.28,2731.78,2938.13,3143.47,3195.80,3661.48,3753.15,3683.10,3891.34,4024.72,4028.08,3993.13,4039.02,4329.95,4166.72,4344.93,4738.35,4683.94,4725.47,4135.67,4647.77,3542.23,2810.22,2681.76,2820.42,3324.32,2881.68
"Pineapple","....Agusan del Norte",808.90,1005.00,960.60,1120.96,1377.26,1499.40,1402.16,1911.99,2024.70,1956.95,2030.85,2081.74,2105.82,2106.72,2146.52,2322.43,2207.23,2331.00,2848.80,2966.63,2930.33,2724.58,3269.74,1987.57,1421.64,1283.14,1285.82,1525.84,1331.96
"Pineapple","....Agusan del Sur",970.15,1078.20,1078.00,1084.92,1038.77,1095.50,1234.96,1190.71,1231.41,1211.51,1275.83,1302.38,1330.77,1272.41,1200.00,1221.02,1159.29,1243.93,1103.75,939.73,1157.00,913.65,991.03,1111.16,992.50,1000.37,1144.50,1329.05,1061.12
"Pineapple","....Dinagat Islands",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.10,7.30,6.13,4.75,7.76
"Pineapple","....Surigao del Norte",524.31,296.00,285.38,286.15,282.40,303.37,309.83,304.78,243.82,245.20,296.06,351.20,295.00,315.00,383.50,381.00,385.20,325.00,325.80,339.50,275.14,172.16,72.00,83.50,45.98,41.00,33.03,32.96,33.35
"Pineapple","....Surigao del Sur",233.78,233.90,236.30,239.75,239.70,245.20,248.85,254.00,253.21,269.44,288.60,289.40,296.50,299.00,309.00,405.50,415.00,445.00,460.00,438.08,363.00,325.28,315.00,360.00,342.00,349.95,350.94,431.73,447.49
"Pineapple","..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)",1056.66,1038.94,1032.67,1021.37,1070.65,1218.07,1227.32,1219.29,1441.89,1476.34,1546.92,1512.88,1454.72,1375.48,1373.76,1208.57,1039.93,1036.74,1072.49,1109.14,1134.85,1072.49,1038.71,1065.39,1012.27,920.56,904.78,900.28,924.03
"Pineapple","....Basilan",160.40,116.54,91.22,85.74,85.58,84.57,83.87,84.99,79.36,80.62,82.41,82.56,83.34,79.59,79.33,77.61,78.32,79.72,81.56,81.15,80.67,81.65,83.35,80.95,80.25,77.50,73.50,73.71,76.42
"Pineapple","....Lanao del Sur",810.00,801.00,820.00,810.00,859.50,945.00,900.00,907.20,1125.00,1161.00,1170.00,1157.94,1115.44,1049.57,1054.18,897.64,727.70,728.00,767.05,780.25,867.00,826.33,811.90,860.26,817.77,739.90,745.82,746.03,771.40
