"Other Crops: Volume of Production, by Region and by Province, 1990-2018"

"Crop","Geolocation","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Abaca","....Sarangani",..,..,..,..,..,..,..,3.00,5.00,92.90,84.01,79.41,342.58,552.34,366.73,405.44,199.90,202.50,202.00,208.20,209.50,179.09,170.50,175.00,258.42,252.75,234.00,245.00,281.00
"Abaca","....Sultan Kudarat",3.00,1.00,1.00,..,..,..,..,..,..,..,14.47,334.31,26.14,24.36,24.95,26.91,27.82,27.16,29.48,29.82,29.40,23.12,20.46,15.62,11.35,10.89,30.28,28.92,22.67
"Abaca","....South Cotabato",585.00,708.00,761.00,992.00,733.00,651.00,673.00,441.00,706.00,425.00,277.87,329.16,164.00,405.47,417.65,425.46,471.42,488.56,496.39,548.59,575.96,662.63,700.79,715.33,726.32,724.06,716.85,745.26,776.04
"Abaca","..REGION XIII (CARAGA)",3483.00,2977.00,2263.00,2587.00,2449.00,3485.00,3301.00,3819.00,3423.00,4909.29,6480.77,3669.84,3548.72,3784.64,4842.78,5578.07,5674.41,5834.96,6084.38,5861.19,6058.64,6030.78,5965.03,5827.89,6031.23,7179.75,7798.57,7643.28,7593.74
"Abaca","....Agusan del Norte",331.00,303.00,52.00,257.00,262.00,255.00,278.00,278.00,273.00,316.98,281.58,185.99,81.25,43.89,191.11,424.73,420.49,502.00,550.53,542.56,548.08,508.36,529.17,521.24,547.04,725.38,793.19,838.16,901.13
"Abaca","....Agusan del Sur",1386.00,1580.00,1224.00,1385.00,1479.00,2355.00,1841.00,1914.00,2221.00,2789.20,3203.16,1785.98,1297.54,961.95,924.03,1010.00,1209.24,1264.16,1409.95,1369.53,1392.86,1509.56,1505.16,1674.05,1857.84,2069.60,2539.42,2796.35,2537.98
"Abaca","....Dinagat Islands",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Abaca","....Surigao del Norte",68.00,84.00,48.00,42.00,144.00,152.00,174.00,171.00,180.00,168.31,167.03,91.64,2.78,15.47,830.70,218.69,28.64,28.80,28.90,25.42,22.60,17.61,10.70,8.10,5.35,5.10,4.86,4.43,4.84
"Abaca","....Surigao del Sur",1698.00,1010.00,939.00,903.00,564.00,723.00,1008.00,1456.00,749.00,1634.80,2829.00,1606.23,2167.15,2763.33,2896.94,3924.65,4016.04,4040.00,4095.00,3923.68,4095.10,3995.25,3920.00,3624.50,3621.00,4379.68,4461.10,4004.35,4149.79
"Abaca","..AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)",5889.00,6363.00,6166.00,5196.00,5834.00,5967.00,6313.00,6235.00,5093.00,5251.70,4948.96,6189.98,4003.32,3947.65,4891.76,4479.61,4601.55,4637.53,4779.42,4781.39,4767.96,4886.48,4887.75,4974.44,4896.94,4903.30,4856.24,4723.92,4798.98
